asset,asset_type,strategy_total_return,buy_hold_total_return,strategy_volatility,strategy_sharpe,max_drawdown,number_of_trades,win_rate
AAPL,Stock,0.46389785989419763,5.016780343810944,0.11140335381407986,0.47775780761402553,-0.1375157885998079,195.0,0.5073375262054507
AMZN,Stock,0.46324972596463354,2.27041044951083,0.1471901126576835,0.39263156332833316,-0.2671104537143207,202.0,0.5121495327102804
BNB,Cryptocurrency,1.8269849311840782,56.0809614464873,0.28053806022324285,0.44718336332138453,-0.37014438359668095,240.0,0.5355191256830601
BTC,Cryptocurrency,1.7490904494080257,5.187253152378827,0.19563780460025035,0.5248233104922377,-0.27526614899609864,220.0,0.5271493212669683
ETH,Cryptocurrency,1.6291200605942477,0.8402414928651105,0.24452373877959024,0.44994223319256654,-0.5575982155771612,214.0,0.5052192066805845
GOOGL,Stock,1.6792212206158816,5.136975849319364,0.13897905071587022,0.9442472814175397,-0.20669230446714834,228.0,0.5317164179104478
JPM,Stock,0.5806821538115152,1.6791398899530838,0.11596322009227021,0.5446956523936579,-0.22500814621369042,177.0,0.5327868852459017
META,Stock,1.224896535485299,2.691115069455004,0.15399011845824437,0.7156571950783798,-0.1876797455367686,173.0,0.5095541401273885
MSFT,Stock,0.9599154970473855,3.5466580166259707,0.11910641724807358,0.7569125879342933,-0.1376407375982405,213.0,0.5610619469026549
NVDA,Stock,1.7097824080373583,33.422510024919916,0.2381594545094903,0.6342009796778993,-0.32056965051633324,224.0,0.5289855072463768
SOL,Cryptocurrency,1.2372332846073166,22.027804993413042,0.3235188006333765,0.45574596681652063,-0.43929493833215594,142.0,0.4982698961937716
SPY,Stock,0.3131995200176696,1.5718777077982629,0.06528745394584823,0.5477952050430508,-0.08546262888121174,222.0,0.5455927051671733
TSLA,Stock,0.41627451582692054,15.499823989842245,0.24250390623181406,0.2966141385314313,-0.3768621873564874,146.0,0.4962025316455696
V,Stock,0.09855318347894615,1.5105519111573043,0.10515863036890445,0.16326141236522684,-0.23294981247110821,176.0,0.5412371134020618
XRP,Cryptocurrency,0.9331232226324921,1.1445273771444016,0.30702854225172005,0.33105341166414565,-0.4995206880798252,152.0,0.5
