asset,asset_type,latest_date,latest_close,next_forecast_close,predicted_return,forecast_direction,model,mae,rmse
AAPL,Stock,2026-04-28,270.7099914550781,270.56079573638164,-0.0005511274921718111,SIDEWAYS,"ARIMA(5,1,0)",21.45579471559499,23.42154992902962
AMZN,Stock,2026-04-28,259.70001220703125,260.02638025051624,0.001256711698668738,SIDEWAYS,"ARIMA(5,1,0)",15.4907895366085,18.580866792163825
BNB,Cryptocurrency,2026-06-13,608.66,608.2259044023274,-0.0007131988263933573,SIDEWAYS,"ARIMA(5,1,0)",24.577720481562196,30.55485815616042
BTC,Cryptocurrency,2026-06-13,64244.91,64198.71404325402,-0.0007190601830710839,SIDEWAYS,"ARIMA(5,1,0)",4927.405878857748,5794.446230638158
ETH,Cryptocurrency,2026-06-13,1676.46,1673.7948393474855,-0.0015897549911805156,SIDEWAYS,"ARIMA(5,1,0)",167.7763575710123,210.19467961287714
GOOGL,Stock,2026-04-28,349.7799987792969,350.5454502445504,0.0021883797470549945,SIDEWAYS,"ARIMA(5,1,0)",12.79876662830894,15.851650675160164
JPM,Stock,2026-04-28,311.45001220703125,311.6622469247721,0.0006814407109406755,SIDEWAYS,"ARIMA(5,1,0)",10.319903200877636,12.714326983999669
META,Stock,2026-04-28,671.3400268554688,672.6615206147192,0.0019684417826838696,SIDEWAYS,"ARIMA(5,1,0)",25.102444078452482,35.04403278707313
MSFT,Stock,2026-04-28,429.25,429.92552555052544,0.0015737345382071878,SIDEWAYS,"ARIMA(5,1,0)",61.76020789026401,74.31935897129888
NVDA,Stock,2026-04-28,213.1699981689453,213.63887086356624,0.00219952478607861,SIDEWAYS,"ARIMA(5,1,0)",7.031467961264337,9.544730547847406
SOL,Cryptocurrency,2026-06-13,68.16,67.79656695747707,-0.0053320575487518776,SIDEWAYS,"ARIMA(5,1,0)",6.34673028076231,8.914818969034377
SPY,Stock,2026-04-28,711.6900024414062,712.036379683109,0.00048669679286557517,SIDEWAYS,"ARIMA(5,1,0)",12.26570897211338,16.177726396248737
TSLA,Stock,2026-04-28,376.0199890136719,377.05570052745554,0.00275440546791253,SIDEWAYS,"ARIMA(5,1,0)",32.175158865541476,38.83754615793037
V,Stock,2026-04-28,309.29998779296875,309.29988579562985,-3.2976832501626296e-07,SIDEWAYS,"ARIMA(5,1,0)",15.054560990409756,17.795404486556794
XRP,Cryptocurrency,2026-06-13,1.1464,1.1401749132771928,-0.005430117518150126,SIDEWAYS,"ARIMA(5,1,0)",0.07181180807356503,0.10556160217535755
