asset,asset_type,max_sharpe_weight,min_volatility_weight,equal_weight
AAPL,Stock,0.11008186087855786,0.032455884373015303,0.06666666666666667
AMZN,Stock,0.0,0.0291986534632454,0.06666666666666667
BNB,Cryptocurrency,0.19292996771405077,7.417881070068092e-19,0.06666666666666667
BTC,Cryptocurrency,0.0,0.12553080067679548,0.06666666666666667
ETH,Cryptocurrency,0.0,0.0,0.06666666666666667
GOOGL,Stock,0.1766738463171459,0.05318304077136872,0.06666666666666667
JPM,Stock,0.009427923886791307,0.17704445722683862,0.06666666666666667
META,Stock,0.0,0.0,0.06666666666666667
MSFT,Stock,0.0,0.058117964165531895,0.06666666666666667
NVDA,Stock,0.25,0.0,0.06666666666666667
SOL,Cryptocurrency,0.11374644167683845,0.024469199323204547,0.06666666666666667
SPY,Stock,2.2082103494468102e-17,0.24999999999999994,0.06666666666666667
TSLA,Stock,0.14713995952661585,7.787736315697878e-17,0.06666666666666667
V,Stock,5.520353840492742e-18,0.25,0.06666666666666667
XRP,Cryptocurrency,4.9933268373382256e-17,1.6615331660231585e-17,0.06666666666666667
